post_id,date,platform,likes,shares,comments,reach,hashtags,post_type
6eb392a9-9887-4f6f-8e4a-5a0658bf1c5d,2024-01-22 21:19:00,Twitter,61,269,286,839,#music #fitness #fun,image
75d4e8c9-824b-41ee-bb8b-ff952c2d9ff7,2024-02-28 15:35:00,Instagram,513,336,152,1568,#fashion #fun #food,texte
aab20414-13f7-4f50-9443-91904c382140,2024-02-13 23:56:00,Instagram,514,152,205,1606,#tech,texte
235de979-7d49-496f-8e92-48716be787ba,2024-03-25 23:40:00,Twitter,962,332,173,2183,#tech #food #music,texte
ed1cdf7e-4565-4d9b-bf55-667ecee1c7cb,2024-04-09 23:33:00,Twitter,351,470,100,1701,#music #fun #travel,image
5c2d2917-4d20-4e31-9bd4-3769b06ff27b,2024-03-27 04:29:00,Twitter,572,346,163,1829,#tech,image
b812ee5f-b3ff-4c9d-8784-a93f297fe2ab,2024-01-10 11:42:00,Twitter,340,264,3,843,#tech #inspiration #food,texte
8c94a8a8-245b-482a-bff3-897d110693ca,2024-02-08 20:19:00,Instagram,644,190,216,1453,#tech #art #food,image
688cbbfb-7582-43e7-b138-2dc463cc534b,2024-03-19 09:54:00,Instagram,298,61,106,1404,#food,image
cc1ba734-4e01-4b38-8d54-7c14327e69df,2024-01-20 16:00:00,Twitter,583,272,21,932,#travel #news #music,texte
b4e5f86b-a59b-4802-ab8d-e85a15b8aaa5,2024-01-14 13:46:00,Instagram,307,350,64,865,#fitness #music #fun,video
b3a762c6-a6aa-4b25-b415-134651a80fa9,2024-01-11 23:04:00,Twitter,95,91,121,427,#travel,image
44685a76-06be-469d-9c5b-eeca1cf640fc,2024-02-01 04:14:00,Instagram,99,355,57,1406,#fashion,texte
b4f56f79-ae1a-4ba7-9efc-88ef6f3e1dcf,2024-01-05 13:46:00,Twitter,660,204,248,1198,#news #music,texte
5f3499cd-4a03-4c8f-997f-d6db00068b90,2024-02-06 13:25:00,Twitter,576,16,81,1055,#travel #inspiration #news,video
c62c88d4-4628-41d2-b620-818e95475102,2024-01-29 14:39:00,Instagram,501,415,20,1927,#music,image
c8b3d73b-d33c-4e90-9a3c-05bfcfdfda51,2024-01-27 06:32:00,Instagram,566,118,92,1303,#art,texte
71ab9e6b-fcf4-4090-8ab7-f84ce92d594e,2024-02-23 13:00:00,Twitter,965,79,290,1423,#music #inspiration #food,video
f01951ee-4f3e-48dc-b0e2-7644e9a7c50e,2024-01-02 19:47:00,Twitter,11,333,82,1340,#food #music #travel,texte
8fcdf64a-c773-425c-9729-c3cb4b762234,2024-04-10 23:07:00,Twitter,356,117,131,1363,#art #food #music,image
29659f19-c1cf-4c35-892b-182bdda0456d,2024-01-07 16:32:00,Instagram,746,422,197,2067,#music #fashion,image
5e30dabb-1231-47f9-a141-cf4e17c41b24,2024-02-27 09:17:00,Twitter,108,232,4,828,#food #art,image
e6d0f6e8-10ff-49a7-ac14-950a71315ea7,2024-02-08 06:39:00,Twitter,706,302,243,1618,#fashion,video
5c67e1f0-4c62-45f1-8232-51100b8cb3f1,2024-03-26 06:14:00,Twitter,505,449,63,1592,#art #news #inspiration,video
54cfeaa8-cf70-4b9a-91e0-e383d8714230,2024-02-26 17:08:00,Instagram,59,339,216,1592,#travel #food #fashion,image
9eb82b23-f389-4fa9-9c3a-c73fee260c20,2024-03-18 20:09:00,Instagram,827,206,270,2284,#fitness,image
8249d4c9-8540-495f-bb4b-a461ffdeb403,2024-02-03 11:27:00,Instagram,933,92,253,1528,#fitness #tech,video
3b726bf0-802c-4ee1-bc8b-2d053545290a,2024-03-09 05:36:00,Instagram,634,415,92,1741,#news #tech,video
4b3a3e4f-cf12-4b6b-88d9-dc765ed3c266,2024-04-07 21:16:00,Instagram,150,480,290,1331,#music,video
